Brand,Age,Original_Price,Battery_Health,RAM,Storage,Condition_Score,Selling_Price
OnePlus,3,84289,72,12,256,1,12846.56
Poco,1,103568,80,12,256,8,52149.82
Samsung,1,75810,97,4,512,10,58511.78
Realme,7,108253,90,4,64,7,10825.3
Google,4,112101,69,12,512,6,16005.92
Google,4,59291,60,8,64,4,6365.2
Apple,1,64429,80,16,256,10,48291.72
Realme,0,25994,94,4,512,2,18020.62
Redmi,2,57878,79,8,512,8,21546.41
Apple,3,82326,50,6,512,2,18927.54
OnePlus,4,52799,55,12,64,7,7126.16
Apple,4,20006,79,12,512,10,13210.17
Realme,2,48887,100,16,128,7,21396.54
Realme,7,114016,83,4,256,9,11401.6
Realme,5,64528,95,6,256,4,7458.94
Google,7,33773,50,8,256,9,3666.42
OnePlus,0,48391,95,16,512,1,31044.3
Apple,7,60363,69,16,512,9,18444.58
OnePlus,6,50504,87,12,512,4,7279.65
Poco,5,63038,73,12,256,9,8752.43
OnePlus,2,114023,51,4,256,2,16821.46
Apple,0,54707,58,12,128,10,34770.06
Redmi,0,79255,67,4,64,6,43600.68
Realme,3,116466,86,12,256,4,22934.65
Realme,5,66723,60,6,256,6,6672.3
Google,0,58679,57,6,64,10,34967.03
OnePlus,7,28275,52,4,128,5,2827.5
Redmi,0,93507,96,16,256,7,80781.71
Apple,2,92492,97,6,512,9,65339.67
OnePlus,3,88837,54,8,256,2,10784.58
Poco,2,15389,87,8,64,5,6162.46
OnePlus,0,78973,75,8,128,1,34816.36
OnePlus,1,91764,90,8,512,2,36369.16
Redmi,2,40424,53,12,64,7,10414.15
Poco,0,109344,77,4,128,3,56166.67
Samsung,7,113795,88,4,128,9,14138.67
Apple,0,100421,70,4,64,8,64385.23
Samsung,2,109272,55,4,128,3,23413.92
Apple,7,113722,79,12,64,9,30080.73
Google,2,100587,97,6,512,7,38799.61
Google,5,98525,87,8,128,3,9852.5
Samsung,3,75616,59,4,512,5,17475.97
Apple,4,78497,69,4,512,2,20324.03
Google,3,22861,95,6,128,7,6909.65
OnePlus,3,25138,54,12,512,5,7755.93
OnePlus,0,82992,67,12,128,7,50303.94
Redmi,6,38834,72,4,256,5,3883.4
Realme,6,82376,87,4,512,4,8237.6
Samsung,0,55379,95,8,256,10,55490.05
Samsung,4,70868,50,4,64,2,7846.92
Apple,1,99339,74,12,128,7,56151.6
Google,3,34543,79,12,64,3,7591.25
Apple,4,18322,72,6,128,8,8037.6
Samsung,6,57953,91,12,128,8,11487.48
Apple,2,50662,96,16,256,5,30834.37
Google,4,68822,87,4,128,6,9990.47
Realme,4,106669,86,8,128,1,11246.43
Redmi,5,26084,94,8,512,9,6862.67
OnePlus,4,87766,71,12,512,6,13858.73
OnePlus,4,45410,72,12,512,2,8461.78
Apple,1,110004,63,8,256,8,55896.43
Apple,3,37694,50,6,128,5,10520.81
Google,3,29184,93,4,64,8,7828.27
Realme,2,56627,55,6,128,8,13682.83
Samsung,0,65549,79,12,64,3,36379.41
Google,1,91895,58,12,256,6,31395.53
Redmi,7,52970,55,8,64,8,5297.0
Redmi,4,82510,53,16,512,3,10833.99
Google,2,101874,52,8,64,7,20944.46
Samsung,1,44312,77,16,64,10,29110.18
Poco,0,103500,66,8,256,9,67774.5
Google,3,83417,78,12,256,3,15294.56
Redmi,7,27367,57,12,512,5,5533.53
Samsung,0,60044,89,8,512,6,46911.33
Realme,1,115107,56,6,128,1,24884.42
Samsung,2,22461,71,16,64,2,8902.22
Realme,3,15194,63,12,256,8,6045.89
Google,6,63946,67,6,256,9,6394.6
OnePlus,0,40351,97,4,64,4,28518.33
Poco,6,53972,63,12,64,4,5397.2
Redmi,0,15114,61,16,64,3,9512.7
Google,1,114736,87,16,128,10,68723.21
Redmi,7,81161,69,12,64,7,8116.1
Google,4,37526,51,4,64,10,4536.3
OnePlus,4,109718,53,8,64,8,11262.21
Apple,5,41935,87,12,64,9,18098.51
Apple,7,40170,97,6,512,1,10630.19
Samsung,6,116443,62,16,128,3,12191.91
OnePlus,4,27718,93,6,512,5,7211.12
Apple,3,86451,77,6,128,1,24324.34
Google,7,80075,82,12,64,6,8007.5
Samsung,3,46767,66,16,64,9,15890.6
Google,0,22754,82,16,512,5,19753.71
Redmi,3,64308,68,16,64,4,11926.44
Google,1,23743,80,6,256,8,13591.72
Samsung,2,42277,59,6,256,10,16510.68
Samsung,7,19889,69,4,64,4,2402.3
Samsung,3,101336,56,4,512,10,27300.63
Realme,3,110893,81,6,256,7,23447.57
Realme,1,68477,68,8,256,7,28606.81
Poco,0,24683,83,16,512,1,17027.79
Apple,0,86053,72,6,64,8,57282.34
Samsung,5,40319,50,8,64,4,5268.76
OnePlus,3,34638,74,16,512,3,10335.49
Poco,1,107434,99,6,256,3,47416.96
Poco,5,23091,88,4,512,8,5481.95
Poco,6,30454,98,12,64,1,3957.98
Apple,1,43797,54,16,128,7,20927.4
Realme,6,17498,50,16,128,2,4235.9
Redmi,6,61136,94,4,64,7,6113.6
Realme,0,110691,65,4,512,10,75309.15
Realme,5,105103,59,6,256,3,10510.3
Realme,7,58048,71,16,256,2,5804.8
Samsung,2,23790,60,8,128,4,7860.39
Realme,4,89222,52,8,512,7,11199.59
Apple,4,67536,83,4,256,2,19636.6
Redmi,5,39176,98,4,128,4,4558.25
Apple,4,33697,74,6,128,2,9649.98
Samsung,1,64386,83,16,512,5,35820.21
Poco,4,27361,84,12,128,6,6322.12
Realme,3,63941,65,16,512,8,16032.48
Samsung,2,22593,92,4,256,8,12602.69
Apple,3,109493,90,6,128,7,53280.43
Samsung,3,75874,53,8,256,4,14755.47
Realme,0,102729,88,4,64,10,91521.52
Google,0,24136,52,4,512,2,10890.43
Redmi,5,96844,81,8,64,9,10566.65
Samsung,6,106383,55,8,128,7,11091.59
Google,3,117039,54,6,256,10,19836.59
Apple,4,83338,60,6,512,7,25946.51
Google,7,119963,91,6,64,4,11996.3
OnePlus,0,92604,93,8,256,2,54553.03
Realme,6,67495,83,12,512,5,8128.77
Realme,5,91018,58,12,256,4,9101.8
Redmi,4,119385,67,8,128,4,12234.84
Google,0,91084,99,12,256,9,89344.5
Apple,2,59512,77,8,128,6,28726.41
Realme,4,52610,59,4,512,6,7792.65
Google,3,54949,51,12,64,6,8876.87
Apple,0,115513,52,16,64,1,36556.72
Google,0,55143,73,16,64,10,43774.39
Redmi,7,33805,73,12,64,6,3687.8
Samsung,4,94807,89,16,128,10,30537.8
Poco,7,33171,65,6,64,5,3317.1
Redmi,6,45745,57,16,128,2,5019.91
Google,1,57995,69,8,64,8,25329.68
Poco,2,72323,73,8,64,2,15303.73
Google,1,96269,55,4,64,10,35536.17
Samsung,2,69552,88,4,128,8,32425.42
Google,1,105265,61,4,256,4,31296.3
Google,3,113847,76,16,64,4,20153.1
Poco,2,43477,54,4,64,8,10047.35
Google,6,21763,80,12,512,1,5682.19
Poco,4,94057,98,6,512,3,14455.08
Realme,0,88624,91,6,512,6,68278.27
Apple,3,83549,51,12,64,1,17112.32
OnePlus,1,86736,70,16,64,5,33118.66
Poco,0,29355,62,8,512,10,22360.1
Google,0,41442,63,6,256,5,22061.35
Samsung,5,76642,65,8,64,4,10195.32
Poco,0,75901,68,6,256,2,33447.61
Samsung,0,26828,71,12,64,5,17005.91
Samsung,4,18422,95,4,512,4,7236.18
OnePlus,5,52236,85,12,512,5,8823.82
OnePlus,7,103055,58,8,256,9,10305.5
Realme,5,106810,85,6,128,1,10681.0
Poco,4,102845,79,12,128,1,11016.76
Poco,3,37832,99,4,64,1,6777.14
Poco,2,32527,62,8,512,6,10976.36
Apple,0,65095,99,6,512,4,48870.83
Poco,6,25571,68,16,512,4,6677.98
